Jaar,Maand,Dag,DagNaam,Uur,Minuut,Type,Persoon,Psalmen
2022,September,18,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 100 vers 1 en 3
Psalm 91 vers 1 en 2
Psalm 32 vers 3 en 5
Schriftlezing: Genesis 14 vers 1 t/m 16 en Lukas 15 vers 1 t/m 7
Collectes:
Psalm 3 vers 1 en 2
Preek: “Oorlog en bevrijding”.
Psalm 85 vers 3 en 4
Lezing eerste helft Avondmaalsformulier
Psalm 35 vers 1
Psalm 25 vers 7"
2022,September,11,Sunday,18,30,Avonddienst,Ds. Mulder uit Krimpen aan de IJssel,"Vz: Psalm 107 vers 1
Psalm 36 vers
Psalm 142 vers 6 en 7
Schriftlezing: Efeze 5 vers 1 t/m 20
Collectes:
Psalm 30 vers 1 en 2 en 3
Preek:
Psalm 119 vers 84 en 87
Gezang3 vers 4 en 5"
2022,September,11,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 116 vers 11
Psalm 65 vers 1 en 6
Psalm 40 vers 4
Schriftlezing: Romeinen 12
Collectes:
Psalm 127 vers 1 en 2
Preek: “Vurig van geest”.
Psalm 68 vers 2
Psalm 67 vers 1 en 3"
2022,September,4,Sunday,18,30,Avonddienst,Ds. Willemsen uit Veenendaal,"Vz: Psalm 106 vers 1 en 21
Psalm 49 vers 1
Psalm 95 vers 4
Schriftlezing: Mattheüs 13 vers 1 t/m 23
Collectes:
Psalm 85 vers 3 en 4
Preek: Mattheüs 13 vers 9
Psalm 89 vers 7 en 8
Psalm 40 vers 5"
2022,September,4,Sunday,10,00,Ochtenddienst,Ds. Messemaker uit Ridderkerk,"Vz:
Psalm 124 vers 1 en 4
Psalm 6 vers 2
Schriftlezing: Exodus 14 vers 10 t/m 22
Collectes:
Psalm 84 vers 3 en 6
Preek: Hebreeën 11 vers 29
Psalm 66 vers 3a en 10 als één couplet
Psalm 68 vers 11 en 17"
2022,August,28,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz: Psalm 107 vers 1 en 22
Psalm 8 vers 1 en 3 en 4
Psalm 103 vers 6 en 7
Schriftlezing: Matheüs 6 vers 25 t/m 34 en Efeze 1 vers 3 t/m 7
Collectes:
Psalm 89 vers 12 en 13
H.C. Zondag 9
Preek: “Een Vader om helemaal te vertrouwen”.
Psalm 18 voorzang en vers 9
Psalm 33 vers 10 en 11"
2022,August,28,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 196 vers 1
Psalm 72 vers 1 en 7
Psalm 141 vers 3 en 4
Schriftlezing: Exodus 7 en Openbaring 16
Collectes:
Psalm 2 vers 1 en 2
Preek: Exodus 7 vers 17a
Psalm 2 vers 5 en 6
Psalm 135 vers 2 en 3"
2022,August,25,Thursday,15,00,Huwelijksdienst Eefke en André,Ds. Lugthart,Onbekend
2022,August,21,Sunday,18,30,Avonddienst,Ds. van Meijeren uit Zeist,"Vz: Psalm 104 vers 1
Psalm 103 vers 10 en 11
Psalm 32 vers 4
Schriftlezing: 2 Koningen 6 vers 8 t/m 23
Collectes:
Psalm 34 vers 4 en 5
Preek: 2 Koningen 6 vers 16
Psalm 46 vers 1 en 6
Psalm 91 vers 1 en 5"
2022,August,21,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 105 vers 1 en 24
Psalm 89 vers 1 en 7
Psalm 143 vers 2 en 11
Schriftlezing: 2 Timotheüs 3
Collectes:
Psalm 25 vers 2 en 6
Preek: “Blijven bij wat je geleerd hebt”.
Psalm 119 vers 53 en 57
Psalm 92 vers 7 en 8"
